Rank,University,group,faculty
1,Carnegie Mellon University,17.7,150
2,Massachusetts Institute of Technology,12.3,85
3,Stanford University,11.9,65
4,University of California - Berkeley,11.3,84
5,Univ. of Illinois at Urbana-Champaign,10.2,91
6,University of Michigan,9.9,77
7,Cornell University,9.1,76
8,University of Washington,8.9,62
9,Georgia Institute of Technology,8.4,89
10,University of California - San Diego,7,53
11,University of Maryland - College Park,6.6,61
12,University of Wisconsin - Madison,6.3,49
13,Columbia University,5.9,47
14,University of Pennsylvania,5.6,46
15,University of Southern California,5.4,45
15,University of Texas at Austin,5.4,42
17,Northeastern University,5.3,57
18,Princeton University,5.2,51
18,University of California - Los Angeles,5.2,36
20,Purdue University,4.8,54
